1,2019,62nd Annual GRAMMY Awards  (2019)
2,2018,61st Annual GRAMMY Awards  (2018)
3,2017,60th Annual GRAMMY Awards  (2017)
4,2016,59th Annual GRAMMY Awards  (2016)
5,2015,58th Annual GRAMMY Awards  (2015)
6,2014,57th Annual GRAMMY Awards  (2014)
7,2013,56th Annual GRAMMY Awards  (2013)
8,2012,55th Annual GRAMMY Awards  (2012)
9,2011,54th Annual GRAMMY Awards  (2011)
10,2010,53rd Annual GRAMMY Awards  (2010)
11,2009,52nd Annual GRAMMY Awards  (2009)
12,2008,51st Annual GRAMMY Awards  (2008)
13,2007,50th Annual GRAMMY Awards  (2007)
14,2006,49th Annual GRAMMY Awards  (2006)
15,2005,48th Annual GRAMMY Awards  (2005)
16,2004,47th Annual GRAMMY Awards  (2004)
17,2003,46th Annual GRAMMY Awards  (2003)
18,2002,45th Annual GRAMMY Awards  (2002)
19,2001,44th Annual GRAMMY Awards  (2001)
20,2000,43rd Annual GRAMMY Awards  (2000)
21,1999,42nd Annual GRAMMY Awards  (1999)
22,1998,41st Annual GRAMMY Awards  (1998)
23,1997,40th Annual GRAMMY Awards  (1997)
24,1996,39th Annual GRAMMY Awards  (1996)
25,1995,38th Annual GRAMMY Awards  (1995)
26,1994,37th Annual GRAMMY Awards  (1994)
27,1993,36th Annual GRAMMY Awards  (1993)
28,1992,35th Annual GRAMMY Awards  (1992)
29,1991,34th Annual GRAMMY Awards  (1991)
30,1990,33rd Annual GRAMMY Awards  (1990)
31,1989,32nd Annual GRAMMY Awards  (1989)
32,1988,31st Annual GRAMMY Awards  (1988)
33,1987,30th Annual GRAMMY Awards  (1987)
34,1986,29th Annual GRAMMY Awards  (1986)
35,1985,28th Annual GRAMMY Awards  (1985)
36,1984,27th Annual GRAMMY Awards  (1984)
37,1983,26th Annual GRAMMY Awards  (1983)
38,1982,25th Annual GRAMMY Awards  (1982)
39,1981,24th Annual GRAMMY Awards  (1981)
40,1980,23rd Annual GRAMMY Awards  (1980)
41,1979,22nd Annual GRAMMY Awards  (1979)
42,1978,21st Annual GRAMMY Awards  (1978)
43,1977,20th Annual GRAMMY Awards  (1977)
44,1976,19th Annual GRAMMY Awards  (1976)
45,1975,18th Annual GRAMMY Awards  (1975)
46,1974,17th Annual GRAMMY Awards  (1974)
47,1973,16th Annual GRAMMY Awards  (1973)
48,1972,15th Annual GRAMMY Awards  (1972)
49,1971,14th Annual GRAMMY Awards  (1971)
50,1970,13th Annual GRAMMY Awards  (1970)
51,1969,12th Annual GRAMMY Awards  (1969)
52,1968,11th Annual GRAMMY Awards  (1968)
53,1967,10th Annual GRAMMY Awards  (1967)
54,1966,9th Annual GRAMMY Awards  (1966)
55,1965,8th Annual GRAMMY Awards  (1965)
56,1964,7th Annual GRAMMY Awards  (1964)
57,1963,6th Annual GRAMMY Awards  (1963)
58,1962,5th Annual GRAMMY Awards  (1962)
59,1961,4th Annual GRAMMY Awards  (1961)
60,1960,3rd Annual GRAMMY Awards  (1960)
61,1959,2nd Annual GRAMMY Awards  (1959)
62,1958,1st Annual GRAMMY Awards  (1958)
