1,Record Of The Year
2,Album Of The Year
3,Song Of The Year
4,Best New Artist
5,Best Pop Solo Performance
6,Best Pop Duo/Group Performance
7,Best Traditional Pop Vocal Album
8,Best Pop Vocal Album
9,Best Dance Recording
10,Best Dance/Electronic Album
11,Best Contemporary Instrumental Album
12,Best Rock Performance
13,Best Metal Performance
14,Best Rock Song
15,Best Rock Album
16,Best Alternative Music Album
17,Best R&B Performance
18,Best Traditional R&B Performance
19,Best R&B Song
20,Best Urban Contemporary Album
21,Best R&B Album
22,Best Rap Performance
23,Best Rap/Sung Performance
24,Best Rap Song
25,Best Rap Album
26,Best Country Solo Performance
27,Best Country Duo/Group Performance
28,Best Country Song
29,Best Country Album
30,Best New Age Album
31,Best Improvised Jazz Solo
32,Best Jazz Vocal Album
33,Best Jazz Instrumental Album
34,Best Large Jazz Ensemble Album
35,Best Latin Jazz Album
36,Best Gospel Performance/Song
37,Best Contemporary Christian Music Performance/Song
38,Best Gospel Album
39,Best Contemporary Christian Music Album
40,Best Roots Gospel Album
41,Best Latin Pop Album
42,"Best Latin Rock, Urban or Alternative Album"
43,Best Regional Mexican Music Album (Including Tejano)
44,Best Tropical Latin Album
45,Best American Roots Performance
46,Best American Roots Song
47,Best Americana Album
48,Best Bluegrass Album
49,Best Traditional Blues Album
50,Best Contemporary Blues Album
51,Best Folk Album
52,Best Regional Roots Music Album
53,Best Reggae Album
54,Best World Music Album
55,Best Children's Music Album
56,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
57,Best Comedy Album
58,Best Musical Theater Album
59,Best Compilation Soundtrack For Visual Media
60,Best Score Soundtrack For Visual Media
61,Best Song Written For Visual Media
62,Best Instrumental Composition
63,"Best Arrangement, Instrumental or A Cappella"
64,"Best Arrangement, Instruments and Vocals"
65,Best Recording Package
66,Best Boxed Or Special Limited Edition Package
67,Best Album Notes
68,Best Historical Album
69,"Best Engineered Album, Non-Classical"
70,"Producer Of The Year, Non-Classical"
71,Best Remixed Recording
72,Best Immersive Audio Album
73,"Best Engineered Album, Classical"
74,"Producer Of The Year, Classical"
75,Best Orchestral Performance
76,Best Opera Recording
77,Best Choral Performance
78,Best Chamber Music/Small Ensemble Performance
79,Best Classical Instrumental Solo
80,Best Classical Solo Vocal Album
81,Best Classical Compendium
82,Best Contemporary Classical Composition
83,Best Music Video
84,Best Music Film
85,Best Children's Album
86,Best Surround Sound Album
87,Best Rap/Sung Collaboration
88,Best Blues Album
89,"Best Remixed Recording, Non-Classical"
90,Best Pop Instrumental Album
91,Best Dance/Electronica Album
92,Best Gospel/Contemporary Christian Music Performance
93,Best Gospel Song
94,Best Contemporary Christian Music Song
95,Best Instrumental Arrangement
96,Best Instrumental Arrangement Accompanying Vocalist(s)
97,Best Classical Vocal Solo
98,Best Hard Rock/Metal Performance
99,Best Contemporary Classical  Composition
100,Best Short Form Music Video
101,Best Long Form Music Video
102,"Best Latin Pop, Rock, Or Urban Album"
103,Best Regional Mexican Or Tejano Album
104,Best Banda Or Norteño Album
105,Best Small Ensemble Performance
106,Best Female Pop Vocal Performance
107,Best Male Pop Vocal Performance
108,Best Pop Performance By A Duo Or Group With Vocals
109,Best Pop Collaboration With Vocals
110,Best Pop Instrumental Performance
111,Best Electronic/Dance Album
112,Best Solo Rock Vocal Performance
113,Best Rock Performance By A Duo Or Group With Vocals
114,Best Hard Rock Performance
115,Best Rock Instrumental Performance
116,Best Female R&B Vocal Performance
117,Best Male R&B Vocal Performance
118,Best R&B Performance By A Duo Or Group With Vocals
119,Best Traditional R&B Vocal Performance
120,Best Urban/Alternative Performance
121,Best Contemporary R&B Album
122,Best Rap Solo Performance
123,Best Rap Performance By A Duo Or Group
124,Best Female Country Vocal Performance
125,Best Male Country Vocal Performance
126,Best Country Performance By A Duo Or Group With Vocals
127,Best Country Collaboration With Vocals
128,Best Country Instrumental Performance
129,Best Contemporary Jazz Album
130,"Best Jazz Instrumental Album, Individual or Group"
131,Best Gospel Performance
